epoch;step;loss
1;500;4.766876
1;1000;3.509247
1;1500;3.108135
1;2000;2.890455
1;2500;2.723781
1;3000;2.603377
1;3500;2.517250
1;4000;2.437109
1;4500;2.384129
1;5000;2.313910
1;5500;2.270811
1;6000;2.215486
1;6500;2.196977
1;7000;2.156758
1;7500;2.130625
1;8000;2.102289
1;8500;2.073840
1;9000;2.040637
1;9500;2.026051
1;10000;2.008355
1;10500;1.985703
1;11000;1.965293
1;11500;1.959285
1;12000;1.950520
1;12500;1.931816
1;13000;1.914336
1;13500;1.909687
1;14000;1.899301
1;14500;1.882750
1;15000;1.874320
1;15500;1.874617
1;16000;1.869492
1;16500;1.870914
1;17000;1.865625
1;17500;1.860914
2;500;1.887629
2;1000;1.856258
2;1500;1.797082
2;2000;1.759294
2;2500;1.715997
2;3000;1.679470
2;3500;1.654425
2;4000;1.627759
2;4500;1.617957
2;5000;1.581605
2;5500;1.578811
2;6000;1.551500
2;6500;1.560268
2;7000;1.544885
2;7500;1.539818
2;8000;1.538307
2;8500;1.534260
2;9000;1.528277
2;9500;1.525709
2;10000;1.532059
2;10500;1.529979
2;11000;1.530848
2;11500;1.544215
2;12000;1.557621
2;12500;1.555309
2;13000;1.556957
2;13500;1.572199
2;14000;1.581691
2;14500;1.583219
2;15000;1.591848
2;15500;1.611004
2;16000;1.621441
2;16500;1.642879
2;17000;1.653625
2;17500;1.669332