dim;ngram;loss;neg;tweets_f1_score;dev_f1_score
300;1;hs;5;0.34984710896960713;0.5623942811063802
300;1;hs;10;0.34984710896960713;0.5629298826329951
300;1;hs;15;0.34984710896960713;0.562571859518963
300;1;hs;20;0.3500344840528849;0.5629021398226923
300;1;ns;5;0.36152677445247106;0.5582780004991592
300;1;ns;10;0.3601970461953892;0.5592922691828756
300;1;ns;15;0.367239299716516;0.5564198703181898
300;1;ns;20;0.367239299716516;0.5560494890712804
300;1;softmax;5;0.38135152696556207;0.5706073642332963
300;1;softmax;10;0.38135152696556207;0.5704664458637649
300;1;softmax;15;0.38135152696556207;0.5700849443316581
300;1;softmax;20;0.38135152696556207;0.57068949669332
300;2;hs;5;0.41809287758654845;0.5964858413727783
300;2;hs;10;0.41809287758654845;0.5961174314759348
300;2;hs;15;0.41809287758654845;0.5962649553694438
300;2;hs;20;0.41809287758654845;0.5965323319189448
300;2;ns;5;0.43428995485045774;0.6031817829531319
300;2;ns;10;0.43428995485045774;0.6022700759160577
300;2;ns;15;0.43428995485045774;0.601864468810706
300;2;ns;20;0.43428995485045774;0.6015863097213002
300;2;softmax;5;0.41696254486785334;0.605732347798267
300;2;softmax;10;0.41696254486785334;0.6054246922025561
300;2;softmax;15;0.41696254486785334;0.6056461452059755
300;2;softmax;20;0.41696254486785334;0.6041908521269723
300;3;hs;5;0.39900082638419354;0.5902343640042036
300;3;hs;10;0.39900082638419354;0.5899936012340775
300;3;hs;15;0.39900082638419354;0.5897528640697065
300;3;hs;20;0.39900082638419354;0.5898151012624974
300;3;ns;5;0.4330852287247636;0.5964765228893903
300;3;ns;10;0.43242796360266245;0.5963029705464398
300;3;ns;15;0.43242796360266245;0.5950023738027166
300;3;ns;20;0.43242796360266245;0.5942141939826172
300;3;softmax;5;0.45773524720893144;0.595838509699971
300;3;softmax;10;0.45685341299376386;0.5959876525220141
300;3;softmax;15;0.45685341299376386;0.5963027592912202
300;3;softmax;20;0.45685341299376386;0.5961264799049685
300;4;hs;5;0.4287878787878788;0.578241469359867
300;4;hs;10;0.4287878787878788;0.5780949693429496
300;4;hs;15;0.4287878787878788;0.5780318706504539
300;4;hs;20;0.4287878787878788;0.5781989423181655
300;4;ns;5;0.43316610925306576;0.58565814271643
300;4;ns;10;0.43316610925306576;0.5846522159345713
300;4;ns;15;0.43316610925306576;0.5849852841231988
300;4;ns;20;0.43316610925306576;0.5859802479593381
300;4;softmax;5;0.45752379550583844;0.5883855813828512
300;4;softmax;10;0.45752379550583844;0.5885487698767945
300;4;softmax;15;0.45752379550583844;0.5886762355254658
300;4;softmax;20;0.45752379550583844;0.5886762355254658
300;5;hs;5;0.40264388921677924;0.5717001098326694
300;5;hs;10;0.40264388921677924;0.572027866196775
300;5;hs;15;0.40264388921677924;0.5718699674227063
300;5;hs;20;0.40264388921677924;0.5718699674227063
300;5;ns;5;0.4989115474077759;0.578612027993442
300;5;ns;10;0.4885352339814949;0.5793203197874702
300;5;ns;15;0.4627725035161744;0.5767334745329324
300;5;ns;20;0.4885352339814949;0.5750089062371991
300;5;softmax;5;0.44657598867835524;0.5799423032404591
300;5;softmax;10;0.44657598867835524;0.5807364590481098
300;5;softmax;15;0.44657598867835524;0.5807364590481098
300;5;softmax;20;0.44657598867835524;0.5807364590481098
500;1;hs;5;0.34984710896960713;0.5625205958490247
500;1;hs;10;0.34984710896960713;0.5617300653618835
500;1;hs;15;0.34984710896960713;0.5626973463916634
500;1;hs;20;0.34984710896960713;0.5623865660464368
500;1;ns;5;0.36612220873339957;0.5564832202428006
500;1;ns;10;0.36612220873339957;0.5578504995255673
500;1;ns;15;0.367239299716516;0.5563937762031202
500;1;ns;20;0.3611425339366516;0.5551823336884754
500;1;softmax;5;0.38135152696556207;0.5705791619755132
500;1;softmax;10;0.38135152696556207;0.5694953991109653
500;1;softmax;15;0.38135152696556207;0.5708618017026222
500;1;softmax;20;0.38135152696556207;0.5695170101135963
500;2;hs;5;0.3986903083248243;0.5960740521596544
500;2;hs;10;0.3986903083248243;0.5960522855118234
500;2;hs;15;0.3986903083248243;0.5958891375307778
500;2;hs;20;0.3986903083248243;0.5959014017503925
500;2;ns;5;0.43428995485045774;0.6024626999103988
500;2;ns;10;0.43428995485045774;0.6024241284092978
500;2;ns;15;0.43428995485045774;0.6008479437826201
500;2;ns;20;0.43428995485045774;0.6006420705828094
500;2;softmax;5;0.41696254486785334;0.6038631575992107
500;2;softmax;10;0.41696254486785334;0.6047068496903283
500;2;softmax;15;0.41696254486785334;0.6043803336380296
500;2;softmax;20;0.41696254486785334;0.6043846940144177
500;3;hs;5;0.41569928137092316;0.5876384828014878
500;3;hs;10;0.41569928137092316;0.5887840972994121
500;3;hs;15;0.41569928137092316;0.5881732757452676
500;3;hs;20;0.41569928137092316;0.5880546767550845
500;3;ns;5;0.4330852287247636;0.5962680358700545
500;3;ns;10;0.43242796360266245;0.5968775810451735
500;3;ns;15;0.43242796360266245;0.5951143331641728
500;3;ns;20;0.43242796360266245;0.5943461994806127
500;3;softmax;5;0.45773524720893144;0.5964579763289016
500;3;softmax;10;0.45773524720893144;0.5961063100557479
500;3;softmax;15;0.45773524720893144;0.596329579869589
500;3;softmax;20;0.45773524720893144;0.5963056140151539
500;4;hs;5;0.42163633467981293;0.5767430521840395
500;4;hs;10;0.42163633467981293;0.5767313243560706
500;4;hs;15;0.42163633467981293;0.5765753511024818
500;4;hs;20;0.42163633467981293;0.5765931618705866
500;4;ns;5;0.43316610925306576;0.5855133146722856
500;4;ns;10;0.43316610925306576;0.5845263915117236
500;4;ns;15;0.43316610925306576;0.5851894549453599
500;4;ns;20;0.43316610925306576;0.585169571399017
500;4;softmax;5;0.45752379550583844;0.5878358317484796
500;4;softmax;10;0.45752379550583844;0.5871059184116542
500;4;softmax;15;0.45752379550583844;0.587897041775314
500;4;softmax;20;0.45752379550583844;0.5881741909456453
500;5;hs;5;0.40264388921677924;0.5698290272947197
500;5;hs;10;0.40264388921677924;0.5696321884357409
500;5;hs;15;0.40264388921677924;0.5698290272947197
500;5;hs;20;0.40264388921677924;0.5698033238253848
500;5;ns;5;0.4989115474077759;0.5781318888545635
500;5;ns;10;0.4885352339814949;0.580648497585905
500;5;ns;15;0.4885352339814949;0.5782755314640016
500;5;ns;20;0.4885352339814949;0.5773602750116107
500;5;softmax;5;0.4393732492997199;0.5788925140297055
500;5;softmax;10;0.4393732492997199;0.5795021232622986
500;5;softmax;15;0.44657598867835524;0.5786816349500974
500;5;softmax;20;0.44657598867835524;0.5796255100354513